n_age,b_gender,n_income,n_daysWithoutFrequency,n_lifetimeValue,b_useByTime,b_waterActivities,b_fitnessActivities,b_teamActivities,b_combatActivities,n_allowedWeeklyVisits,n_allowedVisits,n_realVisits,n_renewals,b_dropout,n_timeAsCustomer,c_timeAsCustomer,n_recency,c_recency,n_frequenciesWeek,c_frequenciesWeek,n_classesWeek,c_classesWeek,n_classesVisit,c_classesVisit,n_ratioUtilization,c_utilization,n_spentPerMonth,b_rareActivities
1.0,1,0.0,78.0,186.2,0,1.0,0.0,0.0,0.0,2.0,17.42,0.0,1.0,1,170.0,3-6m,96,3-12m,0.28823529411764703,0.2-0.5,0.20588235294117646,0.1-0.5,0.7142857142857143,0.5-1,0.0,<25%,32.858823529411765,0.0
74.0,1,5210.0,20.0,38.5,0,0.0,1.0,0.0,0.0,7.0,30.03,4.0,0.0,0,30.0,<1m,20,2-4w,0.9333333333333333,0.5-1,0.0,0,0.0,0,13.32001332001332,<25%,38.5,0.0
19.0,1,1720.0,50.0,319.05,0,0.0,1.0,0.0,1.0,7.0,60.97,3.0,1.0,1,439.0,12m+,1476,>12m,0.908883826879271,0.5-1,0.0,0,0.0,0,4.920452681646712,<25%,21.802961275626426,0.0
13.0,1,0.0,8.999999999999986,2209.97,0,1.0,0.0,1.0,1.0,2.0,17.140000000000004,5.0,5.0,0,1855.0,12m+,9,1-2w,0.7509433962264151,0.5-1,0.6264150943396226,0.5-1,0.8341708542713567,0.5-1,29.17152858809801,25-50%,35.74075471698113,0.0
28.0,0,1620.0,39.0,85.6,0,1.0,0.0,0.0,0.0,7.0,60.97,5.0,0.0,1,98.0,3-6m,1249,>12m,1.5714285714285714,1-2,0.0,0,0.0,0,8.200754469411185,<25%,26.204081632653057,0.0
38.0,1,1910.0,1.0,554.6,0,1.0,0.0,0.0,0.0,3.0,26.13,25.0,1.0,0,397.0,12m+,1,<1w,2.239294710327456,2-3,2.204030226700252,>1,0.984251968503937,0.5-1,95.67546880979717,>75%,41.90931989924434,0.0
46.0,1,3300.0,4.0,192.4,0,1.0,1.0,0.0,0.0,7.0,28.98,5.0,0.0,1,143.0,3-6m,276,3-12m,0.4405594405594406,0.2-0.5,0.0,0,0.0,0,17.25327812284334,<25%,40.36363636363637,0.0
26.0,1,2100.0,39.0,188.6,0,0.0,1.0,0.0,0.0,7.0,60.97,6.0,0.0,1,184.0,6-12m,1226,>12m,1.065217391304348,1-2,0.0,0,0.0,0,9.840905363293423,<25%,30.749999999999996,0.0
20.0,0,1360.0,33.0,89.9,0,0.0,1.0,0.0,0.0,7.0,32.97,1.0,0.0,1,124.0,3-6m,147,3-12m,0.45161290322580644,0.2-0.5,0.0,0,0.0,0,3.0330603579011224,<25%,21.750000000000004,0.0
22.0,1,1500.0,35.0,80.5,0,0.0,1.0,0.0,0.0,7.0,59.01,4.0,0.0,1,185.0,6-12m,238,3-12m,0.41621621621621624,0.2-0.5,0.0,0,0.0,0,6.7785121165904085,<25%,13.054054054054054,0.0
22.0,1,2190.0,292.0,73.69999999999999,0,0.0,1.0,0.0,0.0,7.0,28.98,13.0,1.0,1,350.0,6-12m,1798,>12m,0.58,0.5-1,0.0,0,0.0,0,44.858523119392686,25-50%,6.317142857142857,0.0
34.0,1,3580.0,25.999999999999993,565.8,0,1.0,1.0,0.0,0.0,7.0,60.97,12.0,3.0,1,931.0,12m+,483,>12m,0.9097744360902256,0.5-1,0.0,0,0.0,0,19.681810726586846,<25%,18.232008592910848,0.0
6.0,1,0.0,29.0,921.45,0,1.0,0.0,0.0,0.0,2.0,17.42,5.0,3.0,1,752.0,12m+,486,>12m,0.586436170212766,0.5-1,0.48404255319148937,0.1-0.5,0.8253968253968254,0.5-1,28.702640642939148,25-50%,36.75997340425532,0.0
19.0,1,1650.0,48.0,45.39999999999998,0,0.0,1.0,0.0,1.0,7.0,60.97,1.0,0.0,1,73.0,1-3m,528,>12m,0.2876712328767123,0.2-0.5,0.0,0,0.0,0,1.6401508938822371,<25%,18.65753424657533,0.0
10.999999999999998,0,0.0,15.0,270.4,0,1.0,0.0,0.0,0.0,2.0,17.42,4.0,0.0,1,233.0,6-12m,188,3-12m,0.45064377682403434,0.2-0.5,0.45064377682403434,0.1-0.5,1.0,0.5-1,22.96211251435132,<25%,34.81545064377683,0.0
42.0,1,4250.0,2.0,203.59999999999997,0,1.0,0.0,0.0,0.0,2.0,17.42,8.0,0.0,1,171.0,3-6m,1189,>12m,1.023391812865497,1-2,1.023391812865497,>1,1.0,0.5-1,45.92422502870264,25-50%,35.71929824561403,0.0
56.0,0,6540.0,2.0,540.1,0,1.0,0.0,0.0,0.0,7.0,60.97,32.0,1.0,0,423.0,12m+,2,<1w,1.8534278959810875,1-2,0.0,0,0.0,0,52.48482860423159,50-75%,38.304964539007095,0.0
23.0,0,1500.0,7.0,303.6,0,0.0,1.0,0.0,0.0,7.0,60.97,5.0,0.0,1,239.0,6-12m,525,>12m,1.0836820083682008,1-2,0.0,0,0.0,0,8.200754469411185,<25%,38.10878661087867,0.0
12.0,1,0.0,3.0,852.3,0,1.0,0.0,1.0,0.0,4.0,34.84,4.0,2.0,0,440.0,12m+,3,<1w,0.6681818181818182,0.5-1,0.6681818181818181,0.5-1,0.9999999999999998,0.5-1,11.48105625717566,<25%,58.111363636363635,0.0
21.0,0,2020.0,20.0,180.3,0,0.0,0.0,1.0,0.0,7.0,60.97,4.0,1.0,1,358.0,6-12m,344,3-12m,0.2541899441340782,0.2-0.5,0.0,0,0.0,0,6.5606035755289485,<25%,15.108938547486034,0.0
33.0,0,1440.0,477.0,473.0,0,0.0,1.0,0.0,0.0,7.0,30.03,0.0,2.0,1,1007.0,12m+,934,>12m,0.07646474677259185,<0.1,0.0,0,0.0,0,0.0,<25%,14.091360476663356,0.0
52.0,0,7210.0,61.0,825.5,0,0.0,0.0,0.0,1.0,7.0,62.02,1.0,3.0,1,1085.0,12m+,112,3-12m,0.5032258064516129,0.5-1,0.0,0,0.0,0,1.6123831022250885,<25%,22.82488479262673,0.0
54.0,1,4910.0,82.0,270.4,0,0.0,1.0,0.0,0.0,7.0,39.97,0.0,0.0,1,226.0,6-12m,255,3-12m,0.30973451327433627,0.2-0.5,0.0,0,0.0,0,0.0,<25%,35.89380530973451,0.0
32.0,1,2520.0,43.0,129.6,0,1.0,0.0,0.0,0.0,3.0,26.13,7.0,0.0,1,155.0,3-6m,836,>12m,0.8580645161290322,0.5-1,0.0,0,0.0,0,26.789131266743208,25-50%,25.083870967741934,0.0
23.0,1,1720.0,52.0,109.69999999999999,0,0.0,0.0,0.0,1.0,7.0,60.97,2.0,1.0,1,216.0,6-12m,1109,>12m,0.32407407407407407,0.2-0.5,0.0,0,0.0,0,3.2803017877644742,<25%,15.236111111111109,0.0
17.0,1,1680.0,112.0,476.1,0,1.0,0.0,0.0,0.0,7.0,60.97,0.0,1.0,1,351.0,6-12m,1618,>12m,0.8575498575498576,0.5-1,0.0,0,0.0,0,0.0,<25%,40.69230769230769,0.0
21.0,0,1730.0,55.0,151.0,0,0.0,1.0,0.0,0.0,7.0,60.97,1.0,1.0,1,656.0,12m+,535,>12m,0.13871951219512196,0.1-0.2,0.0,0,0.0,0,1.6401508938822371,<25%,6.9054878048780495,0.0
52.0,1,2960.0,1.0,1988.6,0,0.0,1.0,0.0,0.0,7.0,49.98,20.0,5.0,0,1746.0,12m+,1,<1w,1.4833906071019474,1-2,0.0,0,0.0,0,40.016006402561025,25-50%,34.16838487972508,0.0
7.0,0,0.0,5.0,816.2,0,1.0,0.0,0.0,0.0,2.0,17.42,5.0,2.0,0,789.0,12m+,5,<1w,0.6387832699619772,0.5-1,0.5766793409378961,0.5-1,0.9027777777777778,0.5-1,28.702640642939148,25-50%,31.03422053231939,0.0
21.0,1,2130.0,133.0,73.6,0,0.0,1.0,0.0,0.0,7.0,28.98,8.0,1.0,1,196.0,6-12m,1639,>12m,0.5357142857142857,0.5-1,0.0,0,0.0,0,27.605244996549345,25-50%,11.265306122448978,0.0
44.0,1,2490.0,7.0,1324.3000000000002,1,1.0,0.0,0.0,0.0,7.0,60.97,16.0,3.0,1,1137.0,12m+,7,<1w,1.7607739665787159,1-2,0.0,0,0.0,0,26.242414302115794,25-50%,34.94195250659631,0.0
